Date,Market,RF,HML,RMW,Mom
1990-11,-0.13549999999999998,0.005699999999999999,-0.002,0.038599999999999995,0.015
1990-12,0.025299999999999996,0.006,-0.0361,0.0123,-0.08039999999999999
1991-01,0.017099999999999997,0.0052,0.0024,0.0218,0.0046
1991-02,0.1277,0.0048,0.008,-0.056900000000000006,-0.1523
1991-03,-0.0376,0.0044,0.004,0.0167,0.014499999999999999
1991-04,0.0271,0.0053,0.015,0.006500000000000001,0.0108
1991-05,-0.0156,0.004699999999999999,0.004,0.0075,0.0227
1991-06,-0.06670000000000001,0.0042,0.035699999999999996,0.013600000000000001,0.0308
1991-07,0.018799999999999997,0.0049,0.01,0.0087,0.005699999999999999
1991-08,-0.0678,0.0046,-0.0084,-0.0004,0.0449
1991-09,0.0912,0.0046,0.0008,-0.025099999999999997,-0.030699999999999998
1991-10,0.0448,0.0042,-0.0342,-0.0229,0.0132
1991-11,-0.0813,0.0039000000000000003,-0.0034999999999999996,0.0011,0.0225
1991-12,0.028800000000000003,0.0038,-0.0009,-0.0021,-0.0027
1992-01,-0.0533,0.0034000000000000002,0.0191,0.0084,-0.013000000000000001
1992-02,-0.0694,0.0028000000000000004,-0.006999999999999999,0.010700000000000001,0.006
1992-03,-0.11109999999999999,0.0034000000000000002,0.0231,0.0113,0.012
1992-04,-0.0738,0.0032,0.0545,0.0467,-0.0088
1992-05,0.0901,0.0028000000000000004,-0.0241,-0.013600000000000001,-0.0054
1992-06,-0.08730000000000002,0.0032,0.024900000000000002,0.0235,0.060599999999999994
1992-07,-0.0296,0.0031,-0.011200000000000002,-0.0302,-0.026699999999999998
1992-08,0.1663,0.0026,-0.0659,-0.044199999999999996,-0.10369999999999999
1992-09,-0.026000000000000002,0.0026,-0.0014000000000000002,-0.0212,0.019799999999999998
1992-10,-0.05159999999999999,0.0023,0.0118,0.0113,0.0385
1992-11,0.020800000000000003,0.0023,-0.013999999999999999,0.0005,-0.0149
1992-12,-0.0075,0.0028000000000000004,0.0233,0.0216,-0.0043
1993-01,-0.0063999999999999994,0.0023,0.0028000000000000004,-0.0013,0.0054
1993-02,0.0457,0.0022,-0.0016,-0.0003,-0.0004
1993-03,0.161,0.0025,0.0369,0.0155,-0.1011
1993-04,0.16920000000000002,0.0024,0.0381,-0.0151,-0.0359
1993-05,0.0518,0.0022,-0.0183,-0.0338,0.0066
1993-06,-0.039400000000000004,0.0025,-0.026699999999999998,-0.0203,0.0036
1993-07,0.06949999999999999,0.0024,0.0036,0.0007000000000000001,0.0134
1993-08,0.023999999999999997,0.0025,0.0032,-0.004,0.013600000000000001
1993-09,-0.049400000000000006,0.0026,-0.006500000000000001,0.0358,-0.0143
1993-10,-0.0234,0.0022,0.0019,0.0089,0.0092
1993-11,-0.15969999999999998,0.0025,-0.0037,0.0464,-0.0342
1993-12,0.0223,0.0023,0.0281,-0.0218,0.026000000000000002
1994-01,0.17120000000000002,0.0025,0.0359,-0.043,0.0019
1994-02,0.0409,0.0021,0.0246,0.0001,0.027999999999999997
1994-03,-0.0196,0.0027,0.020099999999999996,-0.024399999999999998,-0.0146
1994-04,0.0356,0.0027,0.0,-0.0149,-0.0095
1994-05,0.0155,0.0032,0.0278,-0.0282,-0.015
1994-06,0.0633,0.0031,0.0385,-0.0111,0.0113
1994-07,-0.0383,0.0028000000000000004,-0.0059,0.0134,-0.011899999999999999
